Donnie Darko,Drama,After narrowly escaping a bizarre accident; a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.
Her,Drama,In a near future; a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
Parasite,Drama,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
I’m Thinking of Ending Things,Drama,Full of misgivings; a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving; she comes to question everything she thought she knew about him; and herself.
Harry Potter and the Sorcerer’s Stone,Fantasy,Harry Potter is an 11-year-old orphan who lives with his miserable aunt and uncle. But when Harry learns he has magical powers; a world of wizarding opens up to him. He's whisked away to Hogwarts School of Witchcraft and Wizardry; where he learns his past is far more complicated than he ever dreamed.
Harry Potter and the Chamber of Secrets,Fantasy,When a crazy house-elf named Dobby (Toby Jones) arrives in Harry's (Daniel Radcliffe's) room; he warns him that there is a plot to destroy Hogwarts and that he shouldn't return.
Harry Potter and the Prisoner of Azkaban,Fantasy,Harry Potter; Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study; where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.
Harry Potter and The Goblet of Fire,Fantasy,Harry Potter finds himself competing in a hazardous tournament between rival schools of magic; but he is distracted by recurring nightmares.
Harry Potter and The Order of the Phoenix,Fantasy,With their warning about Lord Voldemort's return scoffed at; Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.
Harry Potter and the Half-Blood Prince,Fantasy,As Harry Potter begins his sixth year at Hogwarts; he discovers an old book marked as "the property of the Half-Blood Prince" and begins to learn more about Lord Voldemort's dark past.
Harry Potter and The Deathly Hallows - Part 1,Fantasy,As Harry; Ron; and Hermione race against time and evil to destroy the Horcruxes; they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.
Harry Potter and The Deathly Hallows - Part 2,Fantasy,Harry; Ron; and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.
Deadpool,Action,A wisecracking mercenary gets experimented on and becomes immortal but ugly; and sets out to track down the man who ruined his looks.
Deadpool 2,Action,Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal; time-traveling cyborg Cable.
Aristocats,Animation,With the help of a smooth talking tomcat; a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.
Spirited Away,Animation,During her family's move to the suburbs; a sullen 10-year-old girl wanders into a world ruled by gods; witches; and spirits; and where humans are changed into beasts.
Howl’s Moving Castle,Animation,When an unconfident young woman is cursed with an old body by a spiteful witch; her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged; walking castle.
Scooby-Doo and the Loch Ness Monster,Animation,While the gang travel to Scotland to visit Daphne's cousin and witness the Highland Games; they find themselves terrorized by the legendary Loch Ness Monster.
Sinister,Horror,Washed-up true crime writer Ellison Oswalt finds a box of super 8 home movies in his new home that suggest the murder that he is currently researching is the work of a serial killer whose work dates back to the 1960s.
Insidious,Horror,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
The Invisible Man,Horror,When Cecilia's abusive ex takes his own life and leaves her his fortune; she suspects his death was a hoax. As a series of coincidences turn lethal; Cecilia works to prove that she is being hunted by someone nobody can see.
